Table A - DAMAGE_TYPE_INT,Table B - Slayer/Creature Type,TABLE M - ALL SKILLS,Table U - TOLERANCE_INT,Table W - DEFAULT_COMBAT_STYLE_INT,Table AD - TRANSFER_FROM/TO_ATTRIBUTE_INT,Table AR - Death Treasure (Uniques),Table AN - RESISTANCE_MODIFIER_TYPE_INT,Table AM - HOOK_TYPE_INT,Table AI - ICON_UNDERLAY_DID,Table AC - HERITAGE_GROUP_INT,Table Z - BOOSTER_ENUM_INT,Table E - WEAPON_TYPE_INT,Table I - IMBUED_EFFECT_INT,Table  J - WIELD_REQUIREMENTS_INT,Table K - Attributes,Table K - Attributes,Table L - Vitals,Table O - Armor Type,Table P - AMMO_TYPE_INT,Table C - ACTIVATION_RESPONSE_INT,Table AF: MATERIAL_TYPE_INT,Table AA - RADARBLIP_COLOR_INT,Table Y - LOCKPICK_MOD_INT,Table G - COMBAT_USE_INT,Table H - UI_EFFECTS_INT,Table F - ATTACK_TYPE_INT,TABLE AQ - FRIEND_TYPE_INT,Table AL - PLAYER_KILLER_STATUS_INT,Table AK - COMBAT_MODE_INT,Table N - ITEM_TYPE_INT,Table T - BONDED_INT,Table AB - PORTAL_BITMASK_INT,Table AG - SHOWABLE_ON_RADAR_INT,Table AH - SKILL_ADVANCEMENT_CLASS,Table AJ - CURRENT_ATTACK_HEIGHT_INT,Table AP - HOOK_GROUP_INT,Table V  - TARGETING_TACTIC_INT,Table Q - ITEM_USEABLE_INT,Table S - LOCATIONS_INT,Table R - CLOTHING_PRIORITY_INT,,Table AO - CHARACTER_TITLE_ID_INT,,Table AE - EQUIPMENT_SET_ID_INT,PALETTE_ENTRY_INT Lookup Table,,,,All hex enums are converted to decimal (Weenie type),,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687,ID_CharacterTitle_All_for_One,All for One,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,688,ID_CharacterTitle_One_for_All,One for All,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689,ID_CharacterTitle_Jack_O_All_Trades,Jack-O'-All Trades,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690,ID_CharacterTitle_Knight_of_the_Northeast_Tower,Knight of the Northeast Tower,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,691,ID_CharacterTitle_Knight_of_the_Northwest_Tower,Knight of the Northwest Tower,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,692,ID_CharacterTitle_Knight_of_the_Southeast_Tower,Knight of the Southeast Tower,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693,ID_CharacterTitle_Knight_of_the_Southwest_Tower,Knight of the Southwest Tower,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694,ID_CharacterTitle_Knight_of_the_Mhoire_Throne,Knight of the Mhoire Throne,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695,ID_CharacterTitle_Historian_of_the_Mhoire_Throne,Historian of the Mhoire Throne,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696,ID_CharacterTitle_Champion_of_House_Mhoire,Champion of House Mhoire,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697,ID_CharacterTitle_Swordbearer_of_House_Mhoire,Swordbearer of House Mhoire,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698,ID_CharacterTitle_Archmage_of_House_Mhoire,Archmage of House Mhoire,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699,ID_CharacterTitle_Seeker_of_Castle_Mhoire,Seeker of Castle Mhoire,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,ID_CharacterTitle_Steward_of_Castle_Mhoire,Steward of Castle Mhoire,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701,ID_CharacterTitle_Golden_Gear_Crafter,Golden Gear Crafter,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702,ID_CharacterTitle_Ally_of_the_Gold_Primus,Ally of the Gold Primus,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703,ID_CharacterTitle_Gear_Knight_Assassin,Gear Knight Assassin,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704,ID_CharacterTitle_Gear_Knight_Recruiter,Gear Knight Recruiter,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705,ID_CharacterTitle_Gear_Knight_Emissary,Gear Knight Emissary,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706,ID_CharacterTitle_Menhir_Seeker,Menhir Seeker,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707,ID_CharacterTitle_Mana_Field_Finder,Mana Field Finder,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708,ID_CharacterTitle_Assistants_Assistant,Assistant's Assistant,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,709,ID_CharacterTitle_Arcanum_Adventurer,Arcanum Adventurer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710,ID_CharacterTitle_Gear_Knight_Defender,Gear Knight Defender,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711,ID_CharacterTitle_Ripper,Soldier of the Queen,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712,ID_CharacterTitle_Acid_Spitter,Spitter of the Queen,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713,ID_CharacterTitle_Bloodstone_Hunter,Bloodstone Hunter,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714,ID_CharacterTitle_Guiding_Light,Guiding Light,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715,ID_CharacterTitle_Clouded_Soul,Clouded Soul,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716,ID_CharacterTitle_Undercover_of_Darkness,Undercover of Darkness,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,717,ID_CharacterTitle_Brought_to_Light,Brought to Light,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719,ID_CharacterTitle_Illuminating_the_Shadows,Illuminating the Shadows,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720,ID_CharacterTitle_Exploring_Archaeologist,Exploring Archaeologist,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,721,ID_CharacterTitle_Contract_Killer,Contract Killer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722,ID_CharacterTitle_Shadow_Puppet,Shadow Puppet,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723,ID_CharacterTitle_Hopebringer,Hopebringer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,724,ID_CharacterTitle_In_the_Dark,In the Dark,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726,ID_CharacterTitle_Searching_Shadows,Searching the Shadows,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,727,ID_CharacterTitle_Shadow_Soldier,Shadow Soldier,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728,ID_CharacterTitle_Bright_Knight,Bright Knight,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729,ID_CharacterTitle_Merciful_Killer,Merciful Killer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730,ID_CharacterTitle_Soul_Siphon,Soul Siphon,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,731,ID_CharacterTitle_The_TouTou_Terror,The Tou-Tou Terror,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732,ID_CharacterTitle_Double_Agent,Double Agent,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,733,ID_CharacterTitle_Duleing_with_the_Dark,Duleing with the Dark,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734,ID_CharacterTitle_Creature_of_Chaos,Creature of Chaos,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,735,ID_CharacterTitle_Conspirator,Conspirator,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736,ID_CharacterTitle_Hero_of_the_Night,Hero of the Night,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737,ID_CharacterTitle_Master_of_the_Twisted_Word,Master of the Twisted Word,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,738,ID_CharacterTitle_The_Nightmare_Lord,The Nightmare Lord,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739,ID_CharacterTitle_The_Nightmare_Mage,The Nightmare Mage,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740,ID_CharacterTitle_The_Twisted_Weaver,The Twisted Weaver,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741,ID_CharacterTitle_Lord_of_Dark_Dreams,Lord of Dark Dreams,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743,ID_CharacterTitle_The_Dark_Dreamwalker,The Dark Dreamwalker,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745,ID_CharacterTitle_The_Dreamslayer,The Dreamslayer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746,ID_CharacterTitle_The_Nightmare_Stalker,The Nightmare Stalker,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748,ID_CharacterTitle_The_Thought_Spiral,The Thought Spiral,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751,ID_CharacterTitle_Master_of_the_Oubliette,Master of the Oubliette,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,753,ID_CharacterTitle_The_Restless,The Restless,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,754,ID_CharacterTitle_Fiery_Spirit,Fiery Spirit,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755,ID_CharacterTitle_Icy_Veins,Icy Veins,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756,ID_CharacterTitle_Shocking_Disposition,Shocking Disposition,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757,ID_CharacterTitle_Acidic_Soul,Acidic Soul,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,758,ID_CharacterTitle_Grounded_Morals,Grounded Morals,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759,ID_CharacterTitle_Darkened_Heart,Darkened Heart,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760,ID_CharacterTitle_The_True_Emperor,The True Emperor,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761,ID_CharacterTitle_Bearer_of_Darkness,Bearer of Darkness,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763,ID_CharacterTitle_Healer_Ritualist,Healer Ritualist,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764,ID_CharacterTitle_Vanquisher_of_the_Titan,Vanquisher of the Titan,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765,ID_CharacterTitle_Derethian_Newbie,Derethian Newbie,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766,ID_CharacterTitle_Novice_Wanderer,Novice Wanderer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,767,ID_CharacterTitle_Notable_Citizen,Notable Citizen,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768,ID_CharacterTitle_Adept_Adventurer,Adept Adventurer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,769,ID_CharacterTitle_Intrepid_Explorer,Intrepid Explorer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770,ID_CharacterTitle_Supreme_Soldier,Supreme Soldier,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771,ID_CharacterTitle_Epic_Warrior,Epic Warrior,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772,ID_CharacterTitle_Paragon_of_New_Aluvia,Paragon of New Aluvia,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,773,ID_CharacterTitle_An_Auberean_Legend,An Auberean Legend,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774,ID_CharacterTitle_Heretic,Heretic,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775,ID_CharacterTitle_Captain,Captain,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776,ID_CharacterTitle_Pet_Savior,Pet Savior,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,777,ID_CharacterTitle_Avalanche_Avoider,Avalanche Avoider,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778,ID_CharacterTitle_Liberator_of_Uziz,Liberator of Uziz,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,779,ID_CharacterTitle_Out_of_Tune,Out of Tune,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780,ID_CharacterTitle_Hive_Queenslayer,Hive Queenslayer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781,ID_CharacterTitle_Eviscerator_Decimator,Eviscerator Decimator,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782,ID_CharacterTitle_Ultimate_Warrior,Ultimate Warrior,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,783,ID_CharacterTitle_Stone_Cold_Killer,Stone Cold Killer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784,ID_CharacterTitle_Queller_of_Rage,Queller of Rage,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785,ID_CharacterTitle_Ender_of_Torment,Ender of Torment,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786,ID_CharacterTitle_Controller_of_Emotions,Controller of Emotions,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,787,ID_CharacterTitle_Rynthid_Ravager,Rynthid Ravager,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788,ID_CharacterTitle_Lothus_Servitor,Lothus Servitor,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789,ID_CharacterTitle_Ally_of_the_Lothus,Ally of the Lothus,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790,ID_CharacterTitle_Ally_of_the_Council,Ally of the Council,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791,ID_CharacterTitle_Emotional_Wreck,Emotional Wreck,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792,ID_CharacterTitle_Minion_Marauder,Minion Marauder,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,793,ID_CharacterTitle_Rynthid_Wrecker,Rynthid Wrecker,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794,ID_CharacterTitle_Mender_of_the_Rift,Mender of the Rift,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,795,ID_CharacterTitle_Rage_Quitter,Rage Quitter,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796,ID_CharacterTitle_Sorcerer_Slayer,Sorcerer Slayer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,797,ID_CharacterTitle_Night_Owl,Night Owl,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798,ID_CharacterTitle_Purifier,Purifier,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799,ID_CharacterTitle_Fan_Of_Asheron,Fan of Asheron,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,ID_CharacterTitle_Asherons_1,Asheron's #1 Fan,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801,ID_CharacterTitle_Shutterbug,Shutterbug,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,802,ID_CharacterTitle_The_Focused,The Focused,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,803,ID_CharacterTitle_Dereth_Recruiter,Dereth Recruiter,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,804,ID_CharacterTitle_Fowl_Follower,Fowl Follower,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,805,ID_CharacterTitle_Follower_of_Asheron,Follower of Asheron,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,806,ID_CharacterTitle_Follows_Directions,Follows Directions,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,807,ID_CharacterTitle_Cant_Follow_Directions,Can't Follow Directions,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808,ID_CharacterTitle_Likes_Asheron,Likes Asheron,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809,ID_CharacterTitle_Likes_Getting_Titles,Likes Getting Titles,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810,ID_CharacterTitle_Likes_Where_This_Is_Going,Likes Where This Is Going,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,811,ID_CharacterTitle_Likes_Ulgrim,Likes Ulgrim,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812,ID_CharacterTitle_Likable,Likable,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,813,ID_CharacterTitle_Captivating,Captivating,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814,ID_CharacterTitle_Master_of_Ceremony,Master of Ceremony,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815,ID_CharacterTitle_Road_Warrior,Road Warrior,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,816,ID_CharacterTitle_Thriller,Thriller,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817,ID_CharacterTitle_Haunts_Your_Dreams,Haunts Your Dreams,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,818,ID_CharacterTitle_Asherons_Collect_Caller,Asheron's Collect Caller,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,819,ID_CharacterTitle_The_Inquisitive,The Inquisitive,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820,ID_CharacterTitle_Portal_Stormer,Portal Stormer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,821,ID_CharacterTitle_Bringer_of_Pain,Bringer of Pain,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,822,ID_CharacterTitle_Harbinger_of_Madness,Harbinger of Madness,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,823,ID_CharacterTitle_Marked_By_Luck,Marked by Luck,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824,ID_CharacterTitle_Marked_By_Fate,Marked by Fate,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825,ID_CharacterTitle_Marked_By_Fame,Marked by Fame,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826,ID_CharacterTitle_Marked_By_Glamour,Marked by Glamour,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,827,ID_CharacterTitle_Marked_By_Bacon,Marked by Bacon,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828,ID_CharacterTitle_Puzzlemaster,Puzzlemaster,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829,ID_CharacterTitle_Riddle_Ravager,Riddle Ravager,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830,ID_CharacterTitle_The_Cool_Kids_Club,The Cool Kids Club,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,831,ID_CharacterTitle_Epic_Win,Epic Win,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832,ID_CharacterTitle_Epic_Fail,Epic Fail,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,833,ID_CharacterTitle_Always_Picked_First,Always Picked First,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834,ID_CharacterTitle_Always_Picked_Last,Always Picked Last,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835,ID_CharacterTitle_Forever_Alone,Forever Alone,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,836,ID_CharacterTitle_99_Problems_Olthoi_Ate_1,"99 Problems, Olthoi Ate 1",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,837,ID_CharacterTitle_Hungry_for_Moar,Hungry for Moar,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,838,ID_CharacterTitle_I_Can_Haz_Title_Nao,I Can Haz Title Nao,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,839,ID_CharacterTitle_Snowbunny,Snowbunny,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,ID_CharacterTitle_Cold_As_Ice,Cold as Ice,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841,ID_CharacterTitle_Penguin_Plunge,Penguin Plunge,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842,ID_CharacterTitle_Flower_Sniffer,Flower Sniffer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,843,ID_CharacterTitle_Springs_Into_Action,Springs Into Action,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,844,ID_CharacterTitle_Heats_Things_Up,Heats Things Up,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,845,ID_CharacterTitle_Cruel_Summer,Cruel Summer,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846,ID_CharacterTitle_Hot_in_the_City,Hot in the City,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,847,ID_CharacterTitle_Runs_Through_Sprinklers,Runs Through Sprinklers,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,848,ID_CharacterTitle_The_Knowledgeable,The Knowledgeable,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,849,ID_CharacterTitle_Well_Trained,Well Trained,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,ID_CharacterTitle_Pumpkin_Lord,Pumpkin Lord,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,851,ID_CharacterTitle_Haunted,Haunted,,,,,,,,,,
